Code,Level,Abbr.,Term,Status,Quality Points,Count in Attempted?,Count in Passed?,Count in Earned?,Count in GPA?,FA Enroll Verification,Incomplete Grade Ind?,Incomplete Grade Default,Traditional Ind,Numeric Value,Repeat Ind,,
IC,PR,INC,202308,A,0,Y,N,N,Y,Y,N,,Y,0,Y,,
ID,PR,INC,202308,A,0,Y,N,N,Y,Y,N,,Y,0,Y,,
IF,PR,INC,196009,A,0,Y,N,N,Y,N,N,,N,0,Y,,
IP,PR,INPROG,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
IU,PR,INC,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
M,PR,MISSING,196009,A,0,Y,N,N,N,Y,N,,Y,,Y,,
MF,PR,MISSING,196009,A,0,Y,N,N,Y,N,N,,N,,Y,,
MU,PR,MISSING,196009,A,0,Y,N,N,N,N,N,,N,,Y,,
N,PR,AUD,201505,A,0,Y,N,N,N,N,N,,N,,Y,,
NC,PR,NOGRAD,196009,A,0,N,N,N,N,Y,N,,N,0,Y,,
NG,PR,BLK CR,196009,A,0,N,Y,Y,N,Y,N,,N,0,Y,,
NG#,PR,BLK CR,196009,A,0,Y,N,N,N,Y,N,,N,0,Y,,
S,PR,SAT,196009,A,0,Y,Y,Y,N,Y,N,,Y,75,Y,,
S#,PR,CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
U,PR,UNSAT,196009,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
U#,PR,CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
W,PR,WITHDRA,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
W#,PR,W/CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
WC,PR,PR/CAN,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
WE,PR,PR/CAN,202001,A,0,Y,N,N,N,N,N,,N,0,Y,,
X,PR,PR/INC,196009,A,0,Y,N,N,N,Y,N,,N,0,Y,,
Z,PR,CONTINU,196009,A,0,Y,Y,Y,N,N,N,,N,0,Y,,
-,UG,DASH,000000,A,0,Y,Y,Y,N,N,N,,N,0,Y,,
-,UG,DASH,196009,A,0,Y,Y,Y,N,N,N,,N,0,Y,,
-,UG,DASH,200808,A,0,Y,Y,Y,N,N,N,,N,74,Y,,
-#,UG,DASH,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
-#,UG,DASH,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
-#,UG,DASH,200808,A,0,Y,N,N,N,N,N,,N,74,Y,,
-*,UG,CLR,196009,A,0,Y,Y,Y,N,N,N,,N,0,Y,,
-*,UG,CLR,201108,A,0,Y,Y,Y,N,N,N,,N,74,Y,,
A,UG,A,000000,A,4,Y,Y,Y,Y,Y,N,,Y,98,Y,,
A,UG,A,196009,A,4,Y,Y,Y,Y,Y,N,,Y,98,Y,,
A#,UG,CLR/A,000000,A,0,Y,N,N,N,Y,N,,N,98,Y,,
A#,UG,CLR/A,196009,A,0,Y,N,N,N,N,N,,N,98,Y,,
A*,UG,CLR/A,196009,A,0,Y,Y,Y,N,N,N,,N,98,Y,,
A+,UG,A+,000000,A,4,Y,Y,Y,Y,Y,N,,Y,99,Y,,
A+,UG,A+,196009,A,4,Y,Y,Y,Y,Y,N,,Y,99,Y,,
A+,UG,A+,200008,A,4,Y,Y,Y,Y,Y,N,,Y,99,Y,,
A+#,UG,CLR/A+,000000,A,0,Y,N,N,N,N,N,,N,99,Y,,
A+#,UG,CLR/A+,196009,A,0,Y,N,N,N,N,N,,N,99,Y,,
A+*,UG,CLR/A+,196009,A,0,Y,Y,Y,N,N,N,,N,99,Y,,
A-,UG,A-,000000,A,3.75,Y,Y,Y,Y,Y,N,,Y,97,Y,,
A-,UG,A-,196009,A,3.75,Y,Y,Y,Y,Y,N,,Y,97,Y,,
A-,UG,A-,200008,A,3.67,Y,Y,Y,Y,Y,N,,Y,97,Y,,
A-#,UG,CLR/A-,000000,A,0,Y,N,N,N,N,N,,N,97,Y,,
A-#,UG,CLR/A-,196009,A,0,Y,N,N,N,N,N,,N,97,Y,,
A-*,UG,CLR/A-,196009,A,0,Y,Y,Y,N,N,N,,N,97,Y,,
B,UG,B,000000,A,3,Y,Y,Y,Y,Y,N,,Y,85,Y,,
B,UG,B,196009,A,3,Y,Y,Y,Y,Y,N,,Y,85,Y,,
B#,UG,CLR,000000,A,0,Y,N,N,N,N,N,,N,85,Y,,
B#,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,85,Y,,
B*,UG,CLR/B,196009,A,0,Y,Y,Y,N,N,N,,N,85,Y,,
B+,UG,B+,000000,A,3.5,Y,Y,Y,Y,Y,N,,Y,86,Y,,
B+,UG,B+,196009,A,3.5,Y,Y,Y,Y,Y,N,,Y,86,Y,,
B+,UG,B+,200008,A,3.33,Y,Y,Y,Y,Y,N,,Y,86,Y,,
B+#,UG,CLR/B+,000000,A,0,Y,N,N,N,N,N,,N,86,Y,,
B+#,UG,CLR/B+,196009,A,0,Y,N,N,N,N,N,,N,86,Y,,
B+*,UG,CLR/B+,196009,A,0,Y,Y,Y,N,N,N,,N,86,Y,,
B-,UG,B-,000000,A,2.75,Y,Y,Y,Y,Y,N,,Y,84,Y,,
B-,UG,B-,196009,A,2.75,Y,Y,Y,Y,Y,N,,Y,84,Y,,
B-,UG,B-,200008,A,2.67,Y,Y,Y,Y,Y,N,,Y,84,Y,,
B-#,UG,CLR/B-,000000,A,0,Y,N,N,N,N,N,,N,84,Y,,
B-#,UG,CLR/B-,196009,A,0,Y,N,N,N,N,N,,N,84,Y,,
B-*,UG,CLR/B-,196009,A,0,Y,Y,Y,N,N,N,,N,84,Y,,
C,UG,C,000000,A,2,Y,Y,Y,Y,Y,N,,Y,75,Y,,
C,UG,C,196009,A,2,Y,Y,Y,Y,Y,N,,Y,75,Y,,
C#,UG,CLR,000000,A,0,Y,N,N,N,N,N,,N,75,Y,,
C#,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,75,Y,,
C*,UG,CLR/C,196009,A,0,Y,Y,Y,N,N,N,,N,75,Y,,
C+,UG,C+,000000,A,2.5,Y,Y,Y,Y,Y,N,,Y,78,Y,,
C+,UG,C+,196009,A,2.5,Y,Y,Y,Y,Y,N,,Y,78,Y,,
C+,UG,C+,200008,A,2.33,Y,Y,Y,Y,Y,N,,Y,78,Y,,
C+#,UG,CLR/C+,000000,A,0,Y,N,N,N,N,N,,N,78,Y,,
C+#,UG,CLR/C+,196009,A,0,Y,N,N,N,N,N,,N,78,Y,,
C+*,UG,CLR/C+,000000,A,0,Y,Y,Y,N,N,N,,N,78,Y,,
C+*,UG,CLR/C+,196009,A,0,Y,Y,Y,N,N,N,,N,78,Y,,
C-,UG,C-,000000,A,1.75,Y,Y,Y,Y,Y,N,,Y,73,Y,,
C-,UG,C-,196009,A,1.75,Y,Y,Y,Y,Y,N,,Y,73,Y,,
C-,UG,C-,200008,A,1.67,Y,Y,Y,Y,Y,N,,Y,73,Y,,
C-#,UG,CLR/C-,000000,A,0,Y,N,N,N,N,N,,N,73,Y,,
C-#,UG,CLR/C-,196009,A,0,Y,N,N,N,N,N,,N,73,Y,,
C-*,UG,CLR/C-,196009,A,0,Y,Y,Y,N,N,N,,N,73,Y,,
CA,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CA+,UG,UG/CAN,200008,A,0,N,N,N,N,N,N,,N,0,Y,,
CA-,UG,UG/CAN,200008,A,0,N,N,N,N,N,N,,N,0,Y,,
CB,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CB+,UG,UG/CAN,200008,A,0,N,N,N,N,N,N,,N,0,Y,,
CB-,UG,UG/CAN,200008,A,0,N,N,N,N,N,N,,N,0,Y,,
CC,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CC+,UG,UG/CAN,200008,A,0,N,N,N,N,N,N,,N,0,Y,,
CC-,UG,UG/CAN,200008,A,0,N,N,N,N,N,N,,N,0,Y,,
CD,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CD+,UG,UG/CAN,200008,A,0,N,N,N,N,N,N,,N,0,Y,,
CD-,UG,UG/CAN,200008,A,0,N,N,N,N,N,N,,N,0,Y,,
CF,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CFF,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CI,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CI,UG,UG/CAN,201101,A,0,N,N,N,N,N,Y,INCCI,N,0,Y,,
CIF,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CIF,UG,UG/CAN,201101,A,0,N,N,N,N,N,Y,INCCIF,N,0,Y,,
CIU,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CIU,UG,UG/CAN,201101,A,0,N,N,N,N,N,Y,INCCI,N,0,Y,,
CM,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CMF,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CMU,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CN,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CS,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CU,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CW,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CW*,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CX,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
CZ,UG,UG/CAN,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
D,UG,D,000000,A,1,Y,Y,Y,Y,Y,N,,Y,65,Y,,
D,UG,D,196009,A,1,Y,Y,Y,Y,Y,N,,Y,65,Y,,
D#,UG,CLR,000000,A,0,Y,N,N,N,N,N,,N,65,Y,,
D#,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,65,Y,,
D*,UG,CLR/D,196009,A,0,Y,Y,Y,N,N,N,,N,65,Y,,
D+,UG,D+,000000,A,1.5,Y,Y,Y,Y,Y,N,,Y,70,Y,,
D+,UG,D+,196009,A,1.5,Y,Y,Y,Y,Y,N,,Y,70,Y,,
D+,UG,D+,200008,A,1.33,Y,Y,Y,Y,Y,N,,Y,70,Y,,
D+#,UG,CLR/D+,000000,A,0,Y,N,N,N,N,N,,N,70,Y,,
D+#,UG,CLR/D+,196009,A,0,Y,N,N,N,N,N,,N,70,Y,,
D+*,UG,CLR/D+,196009,A,0,Y,Y,Y,N,N,N,,N,70,Y,,
D-,UG,D-,000000,A,0.75,Y,Y,Y,Y,Y,N,,Y,60,Y,,
D-,UG,D-,196009,A,0.75,Y,Y,Y,Y,Y,N,,Y,60,Y,,
D-,UG,D-,200008,A,0.67,Y,Y,Y,Y,Y,N,,Y,60,Y,,
D-#,UG,CLR/D-,000000,A,0,Y,N,N,N,N,N,,N,60,Y,,
D-#,UG,CLR/D-,196009,A,0,Y,N,N,N,N,N,,N,60,Y,,
D-*,UG,CLR/D-,196009,A,0,Y,Y,Y,N,N,N,,N,60,Y,,
F,UG,F,000000,A,0,Y,N,N,Y,Y,N,,Y,0,Y,,
F,UG,F,196009,A,0,Y,N,N,Y,Y,N,,Y,0,Y,,
F#,UG,CLR/F,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
F#,UG,CLR/F,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
F*,UG,CLR/F,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
FF,UG,DISHONE,196009,A,0,Y,N,N,Y,N,N,,N,0,Y,,
FF#,UG,DISHONE,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
I,UG,INC,196009,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
I,UG,INC,201101,A,0,Y,N,N,N,Y,Y,IF,Y,0,Y,,
I#,UG,CLR,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
I#,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
IA,UG,INCA,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
IA+,UG,INCA+,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
IA-,UG,INCA-,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
IB,UG,INCB,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
IB+,UG,INCB+,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
IB-,UG,INCB-,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
IC,UG,INCC,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
IC+,UG,INCC+,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
IC-,UG,INCC-,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
ID,UG,INCD,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
ID+,UG,INCD+,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
ID-,UG,INCD-,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
IF,UG,I/F,000000,A,0,Y,N,N,Y,Y,N,,N,0,Y,,
IF,UG,I/F,196009,A,0,Y,N,N,Y,N,N,,Y,0,Y,,
IF#,UG,CLR,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
IF#,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
IF*,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
INC,UG,INCUG,201101,A,0,N,N,N,N,N,N,,N,0,Y,,
INCCI,UG,INCCIUG,201101,A,0,Y,N,N,N,N,N,,N,0,Y,,
INCCIF,UG,INCCIUG,201101,A,0,Y,N,N,N,N,N,,N,0,Y,,
INCCIU,UG,INCCIUG,201101,A,0,Y,N,N,N,N,N,,N,0,Y,,
IP,UG,INPROG,000000,A,0,N,N,N,N,N,N,,N,0,Y,,
IP,UG,INPROG,196009,A,0,N,N,N,N,N,N,,N,0,Y,,
IS,UG,INCS,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
IU,UG,I/U,000000,A,0,Y,N,N,N,Y,N,,N,0,Y,,
IU,UG,I/U,196009,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
IU,UG,INCS,200808,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
IU#,UG,CLR,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
IU#,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
IU*,UG,CLR,196909,A,0,Y,N,N,N,N,N,,N,0,Y,,
M,UG,MISSING,196009,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
MF,UG,M/F,196009,A,0,Y,N,N,Y,N,N,,N,0,Y,,
MF#,UG,CLR,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
MF#,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
MF*,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
MU,UG,M/U,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
MU#,UG,CLR,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
MU#,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
N,UG,AUD,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
N#,UG,CLR,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
N#,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
NC,UG,NOGRADD,000000,A,0,N,N,N,N,Y,N,,N,0,Y,,
NC,UG,NOGRADD,196009,A,0,N,N,N,N,Y,N,,N,0,Y,,
NG,UG,BLK CR,000000,A,0,N,Y,Y,N,Y,N,,N,0,Y,,
NG,UG,BLK CR,196009,A,0,N,Y,Y,N,Y,N,,N,0,Y,,
NG,UG,BLK CR,200808,A,0,N,Y,Y,N,Y,N,,N,74,Y,,
NG#,UG,BLK CR,000000,A,0,Y,N,N,N,Y,N,,N,0,Y,,
NG#,UG,BLK CR,196009,A,0,Y,N,N,N,Y,N,,N,0,Y,,
Q1,UG,D+,000000,A,1.5,Y,Y,Y,Y,Y,N,,N,,Y,,
Q1,UG,D+,196009,A,1.5,Y,Y,Y,Y,Y,N,,N,,Y,,
Q2,UG,C-,000000,A,1.75,Y,Y,Y,Y,Y,N,,N,,Y,,
Q2,UG,C-,196009,A,1.75,Y,Y,Y,Y,Y,N,,N,,Y,,
Q3,UG,C+,000000,A,2.5,Y,Y,Y,Y,Y,N,,N,,Y,,
Q3,UG,C+,196009,A,2.5,Y,Y,Y,Y,Y,N,,N,,Y,,
Q4,UG,B-,000000,A,2.75,Y,Y,Y,Y,Y,N,,N,,Y,,
Q4,UG,B-,196009,A,2.75,Y,Y,Y,Y,Y,N,,N,,Y,,
Q5,UG,B+,000000,A,3.5,Y,Y,Y,Y,Y,N,,N,,Y,,
Q5,UG,B+,196009,A,3.5,Y,Y,Y,Y,Y,N,,N,,Y,,
Q6,UG,A-,000000,A,3.75,Y,Y,Y,Y,Y,N,,N,,Y,,
Q6,UG,A-,196009,A,3.75,Y,Y,Y,Y,Y,N,,N,,Y,,
QA,UG,A,000000,A,4,Y,Y,Y,Y,Y,N,,N,,Y,,
QA,UG,A,196009,A,4,Y,Y,Y,Y,Y,N,,N,,Y,,
QB,UG,B,000000,A,3,Y,Y,Y,Y,Y,N,,N,,Y,,
QB,UG,B,196009,A,3,Y,Y,Y,Y,Y,N,,N,,Y,,
QC,UG,C,000000,A,2,Y,Y,Y,Y,Y,N,,N,0,Y,,
QC,UG,C,196009,A,2,Y,Y,Y,Y,Y,N,,N,0,Y,,
QC-,UG,C-,201308,A,2,Y,N,N,Y,N,N,,N,0,Y,,
QD,UG,D,000000,A,1,Y,Y,Y,Y,Y,N,,N,0,Y,,
QD,UG,D,196009,A,1,Y,Y,Y,Y,Y,N,,N,0,Y,,
QD,UG,D,201308,A,1,Y,N,N,Y,N,N,,N,0,Y,,
QF,UG,F,201308,A,0,Y,N,N,Y,N,N,,N,0,Y,,
R,UG,REPEAT,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
R,UG,REPEAT,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
S,UG,SAT,000000,A,0,Y,Y,Y,N,Y,N,,Y,75,Y,,
S,UG,SAT,196009,A,0,Y,Y,Y,N,Y,N,,Y,75,Y,,
S#,UG,CLR,000000,A,0,Y,N,N,N,N,N,,N,75,Y,,
S#,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,75,Y,,
S*,UG,CLR,196009,A,0,Y,Y,Y,N,N,N,,N,75,Y,,
U,UG,UNSAT,000000,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
U,UG,UNSAT,196009,A,0,Y,N,N,N,Y,N,,Y,0,Y,,
U#,UG,CLR,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
U#,UG,CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
W,UG,WITHDRA,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
W,UG,WITHDRA,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
W#,UG,W/CLR,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
W#,UG,W/CLR,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
W*,UG,W/ARC,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
WC,UG,UG/CAN,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
WE,UG,UG/CAN,202001,A,0,Y,N,N,N,N,N,,N,0,Y,,
X,UG,UG/INC,196009,A,0,Y,N,N,Y,Y,N,,N,0,Y,,
X,UG,UG/INC,198608,I,0,Y,N,N,N,Y,N,,N,0,Y,,
X#,UG,UG/INC,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
X#,UG,UG/INC,198608,I,0,Y,N,N,N,N,N,,N,0,Y,,
XX,UG,UG/INC,198608,A,0,Y,N,N,N,Y,N,,N,0,Y,,
Z,UG,CONTINU,196009,A,0,Y,Y,Y,N,N,N,,N,0,Y,,
Z#,UG,CONTINU,000000,A,0,Y,N,N,N,N,N,,N,0,Y,,
Z#,UG,CONTINU,196009,A,0,Y,N,N,N,N,N,,N,0,Y,,
